question;answer;item1;item2;co_occurrence_count;export_timestamp
taste;manis;BISCOFFEE;STRAWBERRY;141.48;52:07.4
taste;manis;BISCOFFEE;TEH;156.2345;52:07.4
taste;manis;STRAWBERRY;TEH;100.61;52:07.4
mood;energi;BISCOFFEE;STRAWBERRY;5.72;52:07.4
mood;energi;BISCOFFEE;TEH;16.2245;52:07.4
mood;energi;STRAWBERRY;TEH;8.58;52:07.4
texture;heavy;BISCOFFEE;STRAWBERRY;23.39;52:07.4
texture;heavy;BISCOFFEE;TEH;26.015;52:07.4
texture;heavy;STRAWBERRY;TEH;15.66;52:07.4
caffeine;sedang;BISCOFFEE;STRAWBERRY;18.69;52:07.4
caffeine;sedang;BISCOFFEE;TEH;41.82;52:07.4
caffeine;sedang;STRAWBERRY;TEH;29.72;52:07.4
temperature;panas;BISCOFFEE;STRAWBERRY;34.96;52:07.4
temperature;panas;BISCOFFEE;TEH;52.17;52:07.4
temperature;panas;STRAWBERRY;TEH;43.42;52:07.4
budget;high;BISCOFFEE;STRAWBERRY;34.25;52:07.4
budget;high;BISCOFFEE;TEH;42.955;52:07.4
budget;high;STRAWBERRY;TEH;38.65;52:07.4
taste;netral;KOPI LEMON;LYCHEE SQUASH;8.03;52:07.4
taste;netral;KOPI LEMON;MACCHIATO;11.6645;52:07.4
taste;netral;KOPI LEMON;MOCHACCINO;7.9995;52:07.4
taste;netral;KOPI LEMON;TEH;4.43;52:07.4
taste;netral;KOPI LEMON;TEH JAHE;9.515;52:07.4
taste;netral;LYCHEE SQUASH;MACCHIATO;15.23;52:07.4
taste;netral;LYCHEE SQUASH;MOCHACCINO;5.73;52:07.4
taste;netral;LYCHEE SQUASH;TEH;15.78;52:07.4
taste;netral;LYCHEE SQUASH;TEH JAHE;22.68;52:07.4
taste;netral;MACCHIATO;MOCHACCINO;9.0745;52:07.4
taste;netral;MACCHIATO;TEH;11.02;52:07.4
taste;netral;MACCHIATO;TEH JAHE;14.63;52:07.4
taste;netral;MOCHACCINO;TEH;8.03;52:07.4
taste;netral;MOCHACCINO;TEH JAHE;13.02;52:07.4
taste;netral;TEH;TEH JAHE;12.46;52:07.4
mood;energi;KOPI LEMON;LYCHEE SQUASH;1;52:07.4
mood;energi;KOPI LEMON;MACCHIATO;15.298;52:07.4
mood;energi;KOPI LEMON;MOCHACCINO;16.438;52:07.4
mood;energi;KOPI LEMON;TEH;4.265;52:07.4
mood;energi;KOPI LEMON;TEH JAHE;11.49;52:07.4
mood;energi;LYCHEE SQUASH;MACCHIATO;3.43;52:07.4
mood;energi;LYCHEE SQUASH;MOCHACCINO;1.43;52:07.4
mood;energi;LYCHEE SQUASH;TEH;8.15;52:07.4
mood;energi;LYCHEE SQUASH;TEH JAHE;6.72;52:07.4
mood;energi;MACCHIATO;MOCHACCINO;18.6535;52:07.4
mood;energi;MACCHIATO;TEH;11.92;52:07.4
mood;energi;MACCHIATO;TEH JAHE;7.695;52:07.4
mood;energi;MOCHACCINO;TEH;13.795;52:07.4
mood;energi;MOCHACCINO;TEH JAHE;11.425;52:07.4
mood;energi;TEH;TEH JAHE;9.125;52:07.4
texture;light;KOPI LEMON;LYCHEE SQUASH;32.56;52:07.4
texture;light;KOPI LEMON;MACCHIATO;22.324;52:07.4
texture;light;KOPI LEMON;MOCHACCINO;22.928;52:07.4
texture;light;KOPI LEMON;TEH;15.245;52:07.4
texture;light;KOPI LEMON;TEH JAHE;8.43;52:07.4
texture;light;LYCHEE SQUASH;MACCHIATO;17.81;52:07.4
texture;light;LYCHEE SQUASH;MOCHACCINO;8.59;52:07.4
texture;light;LYCHEE SQUASH;TEH;15.16;52:07.4
texture;light;LYCHEE SQUASH;TEH JAHE;13.72;52:07.4
texture;light;MACCHIATO;MOCHACCINO;13.2885;52:07.4
texture;light;MACCHIATO;TEH;11.325;52:07.4
texture;light;MACCHIATO;TEH JAHE;4.43;52:07.4
texture;light;MOCHACCINO;TEH;14.445;52:07.4
texture;light;MOCHACCINO;TEH JAHE;12.945;52:07.4
texture;light;TEH;TEH JAHE;7.88;52:07.4
caffeine;sedang;KOPI LEMON;LYCHEE SQUASH;3.84;52:07.4
caffeine;sedang;KOPI LEMON;MACCHIATO;20.48;52:07.4
caffeine;sedang;KOPI LEMON;MOCHACCINO;17.6;52:07.4
caffeine;sedang;KOPI LEMON;TEH;8.43;52:07.4
caffeine;sedang;KOPI LEMON;TEH JAHE;11.26;52:07.4
caffeine;sedang;LYCHEE SQUASH;MACCHIATO;5.33;52:07.4
caffeine;sedang;LYCHEE SQUASH;MOCHACCINO;1.43;52:07.4
caffeine;sedang;LYCHEE SQUASH;TEH;9.32;52:07.4
caffeine;sedang;LYCHEE SQUASH;TEH JAHE;13.65;52:07.4
caffeine;sedang;MACCHIATO;MOCHACCINO;22.48;52:07.4
caffeine;sedang;MACCHIATO;TEH;10.93;52:07.4
caffeine;sedang;MACCHIATO;TEH JAHE;14.73;52:07.4
caffeine;sedang;MOCHACCINO;TEH;12.6;52:07.4
caffeine;sedang;MOCHACCINO;TEH JAHE;11.93;52:07.4
caffeine;sedang;TEH;TEH JAHE;12.16;52:07.4
temperature;panas;KOPI LEMON;LYCHEE SQUASH;14.19;52:07.4
temperature;panas;KOPI LEMON;MACCHIATO;21.214;52:07.4
temperature;panas;KOPI LEMON;MOCHACCINO;31.618;52:07.4
temperature;panas;KOPI LEMON;TEH;6.265;52:07.4
temperature;panas;KOPI LEMON;TEH JAHE;8.96;52:07.4
temperature;panas;LYCHEE SQUASH;MACCHIATO;11.65;52:07.4
temperature;panas;LYCHEE SQUASH;MOCHACCINO;2.73;52:07.4
temperature;panas;LYCHEE SQUASH;TEH;7.56;52:07.4
temperature;panas;LYCHEE SQUASH;TEH JAHE;8.76;52:07.4
temperature;panas;MACCHIATO;MOCHACCINO;20.9545;52:07.4
temperature;panas;MACCHIATO;TEH;11.23;52:07.4
temperature;panas;MACCHIATO;TEH JAHE;10.88;52:07.4
temperature;panas;MOCHACCINO;TEH;11.11;52:07.4
temperature;panas;MOCHACCINO;TEH JAHE;11.525;52:07.4
temperature;panas;TEH;TEH JAHE;6.58;52:07.4
budget;mid;KOPI LEMON;LYCHEE SQUASH;16.1;52:07.4
budget;mid;KOPI LEMON;MACCHIATO;16.799;52:07.4
budget;mid;KOPI LEMON;MOCHACCINO;12.8845;52:07.4
budget;mid;KOPI LEMON;TEH;8.465;52:07.4
budget;mid;KOPI LEMON;TEH JAHE;3.53;52:07.4
budget;mid;LYCHEE SQUASH;MACCHIATO;9.81;52:07.4
budget;mid;LYCHEE SQUASH;MOCHACCINO;3.43;52:07.4
budget;mid;LYCHEE SQUASH;TEH;10.42;52:07.4
budget;mid;LYCHEE SQUASH;TEH JAHE;7.59;52:07.4
budget;mid;MACCHIATO;MOCHACCINO;15.0645;52:07.4
budget;mid;MACCHIATO;TEH;6.83;52:07.4
budget;mid;MACCHIATO;TEH JAHE;3.88;52:07.4
budget;mid;MOCHACCINO;TEH;11.23;52:07.4
budget;mid;MOCHACCINO;TEH JAHE;11.26;52:07.4
budget;mid;TEH;TEH JAHE;10.58;52:07.4
taste;netral;KOPI GULA AREN;KOPI SUSU;8.03;52:07.4
taste;netral;KOPI GULA AREN;STRAWBERRY;17.89;52:07.4
taste;netral;KOPI GULA AREN;TEH HIJAU;10.8045;52:07.4
taste;netral;KOPI GULA AREN;TEH STRAWBERRY;14.86;52:07.4
taste;netral;KOPI SUSU;STRAWBERRY;24.63;52:07.4
taste;netral;KOPI SUSU;TEH HIJAU;14.75;52:07.4
taste;netral;KOPI SUSU;TEH STRAWBERRY;15.2;52:07.4
taste;netral;STRAWBERRY;TEH HIJAU;17.52;52:07.4
taste;netral;STRAWBERRY;TEH STRAWBERRY;32.14;52:07.4
taste;netral;TEH HIJAU;TEH STRAWBERRY;21.7295;52:07.4
mood;rileks;KOPI GULA AREN;KOPI SUSU;10.995;52:07.4
mood;rileks;KOPI GULA AREN;STRAWBERRY;33.1;52:07.4
mood;rileks;KOPI GULA AREN;TEH HIJAU;9.75;52:07.4
mood;rileks;KOPI GULA AREN;TEH STRAWBERRY;5;52:07.4
mood;rileks;KOPI SUSU;STRAWBERRY;10.6;52:07.4
mood;rileks;KOPI SUSU;TEH HIJAU;8.45;52:07.4
mood;rileks;KOPI SUSU;TEH STRAWBERRY;7.75;52:07.4
mood;rileks;STRAWBERRY;TEH HIJAU;4.9;52:07.4
mood;rileks;STRAWBERRY;TEH STRAWBERRY;7.6;52:07.4
mood;rileks;TEH HIJAU;TEH STRAWBERRY;12.795;52:07.4
texture;light;KOPI GULA AREN;KOPI SUSU;7.6;52:07.4
texture;light;KOPI GULA AREN;STRAWBERRY;23.49;52:07.4
texture;light;KOPI GULA AREN;TEH HIJAU;8.945;52:07.4
texture;light;KOPI GULA AREN;TEH STRAWBERRY;6.265;52:07.4
texture;light;KOPI SUSU;STRAWBERRY;10.43;52:07.4
texture;light;KOPI SUSU;TEH HIJAU;11.46;52:07.4
texture;light;KOPI SUSU;TEH STRAWBERRY;7.3;52:07.4
texture;light;STRAWBERRY;TEH HIJAU;12.6;52:07.4
texture;light;STRAWBERRY;TEH STRAWBERRY;16.89;52:07.4
texture;light;TEH HIJAU;TEH STRAWBERRY;16.5205;52:07.4
caffeine;sedang;KOPI GULA AREN;KOPI SUSU;17.23;52:07.4
caffeine;sedang;KOPI GULA AREN;STRAWBERRY;23.99;52:07.4
caffeine;sedang;KOPI GULA AREN;TEH HIJAU;7.86;52:07.4
caffeine;sedang;KOPI GULA AREN;TEH STRAWBERRY;12.06;52:07.4
caffeine;sedang;KOPI SUSU;STRAWBERRY;9.3;52:07.4
caffeine;sedang;KOPI SUSU;TEH HIJAU;14.16;52:07.4
caffeine;sedang;KOPI SUSU;TEH STRAWBERRY;4.3;52:07.4
caffeine;sedang;STRAWBERRY;TEH HIJAU;14.22;52:07.4
caffeine;sedang;STRAWBERRY;TEH STRAWBERRY;13.09;52:07.4
caffeine;sedang;TEH HIJAU;TEH STRAWBERRY;17.59;52:07.4
temperature;panas;KOPI GULA AREN;KOPI SUSU;11.63;52:07.4
temperature;panas;KOPI GULA AREN;STRAWBERRY;49.92;52:07.4
temperature;panas;KOPI GULA AREN;TEH HIJAU;14.245;52:07.4
temperature;panas;KOPI GULA AREN;TEH STRAWBERRY;13.53;52:07.4
temperature;panas;KOPI SUSU;STRAWBERRY;8.3;52:07.4
temperature;panas;KOPI SUSU;TEH HIJAU;9.7;52:07.4
temperature;panas;KOPI SUSU;TEH STRAWBERRY;8.6;52:07.4
temperature;panas;STRAWBERRY;TEH HIJAU;4.9;52:07.4
temperature;panas;STRAWBERRY;TEH STRAWBERRY;17.62;52:07.4
temperature;panas;TEH HIJAU;TEH STRAWBERRY;15.46;52:07.4
budget;low;KOPI GULA AREN;KOPI SUSU;6.095;52:07.4
budget;low;KOPI GULA AREN;STRAWBERRY;31.45;52:07.4
budget;low;KOPI GULA AREN;TEH HIJAU;10.7745;52:07.4
budget;low;KOPI GULA AREN;TEH STRAWBERRY;9.365;52:07.4
budget;low;KOPI SUSU;STRAWBERRY;7.03;52:07.4
budget;low;KOPI SUSU;TEH HIJAU;7.31;52:07.4
budget;low;KOPI SUSU;TEH STRAWBERRY;4.9;52:07.4
budget;low;STRAWBERRY;TEH HIJAU;4.7;52:07.4
budget;low;STRAWBERRY;TEH STRAWBERRY;15.11;52:07.4
budget;low;TEH HIJAU;TEH STRAWBERRY;11.68;52:07.4
taste;netral;LEMON KISS;TEH HIJAU;23.38;52:07.4
taste;netral;LEMON KISS;TEH SEREH;10.06;52:07.4
taste;netral;TEH HIJAU;TEH SEREH;12.7945;52:07.4
mood;energi;LEMON KISS;TEH HIJAU;7.72;52:07.4
mood;energi;LEMON KISS;TEH SEREH;3.86;52:07.4
mood;energi;TEH HIJAU;TEH SEREH;10.8695;52:07.4
texture;light;LEMON KISS;TEH HIJAU;10.13;52:07.4
texture;light;LEMON KISS;TEH SEREH;5.83;52:07.4
texture;light;TEH HIJAU;TEH SEREH;5.0745;52:07.4
caffeine;tinggi;LEMON KISS;TEH HIJAU;1.43;52:07.4
caffeine;tinggi;LEMON KISS;TEH SEREH;1.43;52:07.4
caffeine;tinggi;TEH HIJAU;TEH SEREH;14.0495;52:07.4
temperature;bebas;LEMON KISS;TEH HIJAU;6.46;52:07.4
temperature;bebas;LEMON KISS;TEH SEREH;4.16;52:07.4
temperature;bebas;TEH HIJAU;TEH SEREH;14.8545;52:07.4
budget;mid;LEMON KISS;TEH HIJAU;2.73;52:07.4
budget;mid;LEMON KISS;TEH SEREH;4.83;52:07.4
budget;mid;TEH HIJAU;TEH SEREH;6.9445;52:07.4
taste;manis;BANANA;CHOCOLATE;96.1;52:07.4
taste;manis;BANANA;KOPI GULA AREN;116.8;52:07.4
taste;manis;BANANA;MANGO;107.4735;52:07.4
taste;manis;BANANA;TEH;91.09;52:07.4
taste;manis;CHOCOLATE;KOPI GULA AREN;109.3;52:07.4
