question,answer,item1,item2,co_occurrence_count,export_timestamp
taste,manis,BISCOFFEE,STRAWBERRY,141.01,2025-10-06 18:41:31.719277
taste,manis,BISCOFFEE,TEH,152.63950000000003,2025-10-06 18:41:31.719277
taste,manis,STRAWBERRY,TEH,92.71999999999994,2025-10-06 18:41:31.719277
mood,energi,BISCOFFEE,STRAWBERRY,7.720000000000001,2025-10-06 18:41:31.719277
mood,energi,BISCOFFEE,TEH,16.2245,2025-10-06 18:41:31.719277
mood,energi,STRAWBERRY,TEH,7.15,2025-10-06 18:41:31.719277
texture,heavy,BISCOFFEE,STRAWBERRY,22.290000000000006,2025-10-06 18:41:31.719277
texture,heavy,BISCOFFEE,TEH,23.315,2025-10-06 18:41:31.719277
texture,heavy,STRAWBERRY,TEH,13.930000000000003,2025-10-06 18:41:31.719277
caffeine,sedang,BISCOFFEE,STRAWBERRY,18.69,2025-10-06 18:41:31.719277
caffeine,sedang,BISCOFFEE,TEH,38.22,2025-10-06 18:41:31.719277
caffeine,sedang,STRAWBERRY,TEH,27.290000000000006,2025-10-06 18:41:31.719277
temperature,panas,BISCOFFEE,STRAWBERRY,33.06,2025-10-06 18:41:31.719277
temperature,panas,BISCOFFEE,TEH,48.16999999999999,2025-10-06 18:41:31.719277
temperature,panas,STRAWBERRY,TEH,37.69,2025-10-06 18:41:31.719277
budget,high,BISCOFFEE,STRAWBERRY,34.85,2025-10-06 18:41:31.719277
budget,high,BISCOFFEE,TEH,45.25499999999999,2025-10-06 18:41:31.719277
budget,high,STRAWBERRY,TEH,38.12,2025-10-06 18:41:31.719277
taste,netral,KOPI LEMON,LYCHEE SQUASH,9.6,2025-10-06 18:41:31.719277
taste,netral,KOPI LEMON,MACCHIATO,12.094500000000002,2025-10-06 18:41:31.719277
taste,netral,KOPI LEMON,TEH,5.43,2025-10-06 18:41:31.719277
taste,netral,KOPI LEMON,TEH JAHE,8.215000000000002,2025-10-06 18:41:31.719277
taste,netral,KOPI LEMON,TEH LECI,15.815,2025-10-06 18:41:31.719277
taste,netral,LYCHEE SQUASH,MACCHIATO,15.960000000000003,2025-10-06 18:41:31.719277
taste,netral,LYCHEE SQUASH,TEH,15.18,2025-10-06 18:41:31.719277
taste,netral,LYCHEE SQUASH,TEH JAHE,24.680000000000003,2025-10-06 18:41:31.719277
taste,netral,LYCHEE SQUASH,TEH LECI,29.240000000000002,2025-10-06 18:41:31.719277
taste,netral,MACCHIATO,TEH,14.45,2025-10-06 18:41:31.719277
taste,netral,MACCHIATO,TEH JAHE,14.46,2025-10-06 18:41:31.719277
taste,netral,MACCHIATO,TEH LECI,16.32,2025-10-06 18:41:31.719277
taste,netral,TEH,TEH JAHE,16.060000000000002,2025-10-06 18:41:31.719277
taste,netral,TEH,TEH LECI,18.3645,2025-10-06 18:41:31.719277
taste,netral,TEH JAHE,TEH LECI,21.62,2025-10-06 18:41:31.719277
mood,energi,KOPI LEMON,LYCHEE SQUASH,2.0,2025-10-06 18:41:31.719277
mood,energi,KOPI LEMON,MACCHIATO,15.298000000000002,2025-10-06 18:41:31.719277
mood,energi,KOPI LEMON,TEH,4.265,2025-10-06 18:41:31.719277
mood,energi,KOPI LEMON,TEH JAHE,10.49,2025-10-06 18:41:31.719277
mood,energi,KOPI LEMON,TEH LECI,8.82,2025-10-06 18:41:31.719277
mood,energi,LYCHEE SQUASH,MACCHIATO,2.43,2025-10-06 18:41:31.719277
mood,energi,LYCHEE SQUASH,TEH,5.720000000000001,2025-10-06 18:41:31.719277
mood,energi,LYCHEE SQUASH,TEH JAHE,3.8600000000000003,2025-10-06 18:41:31.719277
mood,energi,LYCHEE SQUASH,TEH LECI,12.01,2025-10-06 18:41:31.719277
mood,energi,MACCHIATO,TEH,11.919999999999998,2025-10-06 18:41:31.719277
mood,energi,MACCHIATO,TEH JAHE,6.695,2025-10-06 18:41:31.719277
mood,energi,MACCHIATO,TEH LECI,11.184999999999999,2025-10-06 18:41:31.719277
mood,energi,TEH,TEH JAHE,9.125,2025-10-06 18:41:31.719277
mood,energi,TEH,TEH LECI,11.39,2025-10-06 18:41:31.719277
mood,energi,TEH JAHE,TEH LECI,16.515,2025-10-06 18:41:31.719277
texture,light,KOPI LEMON,LYCHEE SQUASH,26.459999999999997,2025-10-06 18:41:31.719277
texture,light,KOPI LEMON,MACCHIATO,23.404,2025-10-06 18:41:31.719277
texture,light,KOPI LEMON,TEH,14.879999999999999,2025-10-06 18:41:31.719277
texture,light,KOPI LEMON,TEH JAHE,10.63,2025-10-06 18:41:31.719277
texture,light,KOPI LEMON,TEH LECI,22.119999999999997,2025-10-06 18:41:31.719277
texture,light,LYCHEE SQUASH,MACCHIATO,18.159999999999997,2025-10-06 18:41:31.719277
texture,light,LYCHEE SQUASH,TEH,10.56,2025-10-06 18:41:31.719277
texture,light,LYCHEE SQUASH,TEH JAHE,14.49,2025-10-06 18:41:31.719277
texture,light,LYCHEE SQUASH,TEH LECI,25.799999999999997,2025-10-06 18:41:31.719277
texture,light,MACCHIATO,TEH,14.325,2025-10-06 18:41:31.719277
texture,light,MACCHIATO,TEH JAHE,6.859999999999999,2025-10-06 18:41:31.719277
texture,light,MACCHIATO,TEH LECI,11.240000000000002,2025-10-06 18:41:31.719277
texture,light,TEH,TEH JAHE,13.780000000000001,2025-10-06 18:41:31.719277
texture,light,TEH,TEH LECI,16.1995,2025-10-06 18:41:31.719277
texture,light,TEH JAHE,TEH LECI,15.22,2025-10-06 18:41:31.719277
caffeine,sedang,KOPI LEMON,LYCHEE SQUASH,5.3,2025-10-06 18:41:31.719277
caffeine,sedang,KOPI LEMON,MACCHIATO,20.02,2025-10-06 18:41:31.719277
caffeine,sedang,KOPI LEMON,TEH,10.43,2025-10-06 18:41:31.719277
caffeine,sedang,KOPI LEMON,TEH JAHE,7.960000000000001,2025-10-06 18:41:31.719277
caffeine,sedang,KOPI LEMON,TEH LECI,10.700000000000001,2025-10-06 18:41:31.719277
caffeine,sedang,LYCHEE SQUASH,MACCHIATO,6.63,2025-10-06 18:41:31.719277
caffeine,sedang,LYCHEE SQUASH,TEH,10.32,2025-10-06 18:41:31.719277
caffeine,sedang,LYCHEE SQUASH,TEH JAHE,13.650000000000002,2025-10-06 18:41:31.719277
caffeine,sedang,LYCHEE SQUASH,TEH LECI,13.180000000000001,2025-10-06 18:41:31.719277
caffeine,sedang,MACCHIATO,TEH,16.36,2025-10-06 18:41:31.719277
caffeine,sedang,MACCHIATO,TEH JAHE,12.030000000000001,2025-10-06 18:41:31.719277
caffeine,sedang,MACCHIATO,TEH LECI,12.660000000000002,2025-10-06 18:41:31.719277
caffeine,sedang,TEH,TEH JAHE,13.16,2025-10-06 18:41:31.719277
caffeine,sedang,TEH,TEH LECI,12.39,2025-10-06 18:41:31.719277
caffeine,sedang,TEH JAHE,TEH LECI,8.86,2025-10-06 18:41:31.719277
temperature,panas,KOPI LEMON,LYCHEE SQUASH,9.919999999999998,2025-10-06 18:41:31.719277
temperature,panas,KOPI LEMON,MACCHIATO,21.214000000000002,2025-10-06 18:41:31.719277
temperature,panas,KOPI LEMON,TEH,7.365,2025-10-06 18:41:31.719277
temperature,panas,KOPI LEMON,TEH JAHE,10.959999999999999,2025-10-06 18:41:31.719277
temperature,panas,KOPI LEMON,TEH LECI,18.154999999999998,2025-10-06 18:41:31.719277
temperature,panas,LYCHEE SQUASH,MACCHIATO,8.110000000000001,2025-10-06 18:41:31.719277
temperature,panas,LYCHEE SQUASH,TEH,6.6899999999999995,2025-10-06 18:41:31.719277
temperature,panas,LYCHEE SQUASH,TEH JAHE,11.290000000000001,2025-10-06 18:41:31.719277
temperature,panas,LYCHEE SQUASH,TEH LECI,10.840000000000003,2025-10-06 18:41:31.719277
temperature,panas,MACCHIATO,TEH,12.13,2025-10-06 18:41:31.719277
temperature,panas,MACCHIATO,TEH JAHE,12.31,2025-10-06 18:41:31.719277
temperature,panas,MACCHIATO,TEH LECI,12.825000000000001,2025-10-06 18:41:31.719277
temperature,panas,TEH,TEH JAHE,11.18,2025-10-06 18:41:31.719277
temperature,panas,TEH,TEH LECI,10.0745,2025-10-06 18:41:31.719277
temperature,panas,TEH JAHE,TEH LECI,14.71,2025-10-06 18:41:31.719277
budget,mid,KOPI LEMON,LYCHEE SQUASH,13.620000000000001,2025-10-06 18:41:31.719277
budget,mid,KOPI LEMON,MACCHIATO,19.229000000000003,2025-10-06 18:41:31.719277
budget,mid,KOPI LEMON,TEH,7.694999999999999,2025-10-06 18:41:31.719277
budget,mid,KOPI LEMON,TEH JAHE,6.630000000000001,2025-10-06 18:41:31.719277
budget,mid,KOPI LEMON,TEH LECI,15.200999999999997,2025-10-06 18:41:31.719277
budget,mid,LYCHEE SQUASH,MACCHIATO,13.779999999999998,2025-10-06 18:41:31.719277
budget,mid,LYCHEE SQUASH,TEH,9.790000000000001,2025-10-06 18:41:31.719277
budget,mid,LYCHEE SQUASH,TEH JAHE,9.790000000000001,2025-10-06 18:41:31.719277
budget,mid,LYCHEE SQUASH,TEH LECI,13.99,2025-10-06 18:41:31.719277
budget,mid,MACCHIATO,TEH,10.26,2025-10-06 18:41:31.719277
budget,mid,MACCHIATO,TEH JAHE,5.88,2025-10-06 18:41:31.719277
budget,mid,MACCHIATO,TEH LECI,10.26,2025-10-06 18:41:31.719277
budget,mid,TEH,TEH JAHE,12.879999999999999,2025-10-06 18:41:31.719277
budget,mid,TEH,TEH LECI,14.325,2025-10-06 18:41:31.719277
budget,mid,TEH JAHE,TEH LECI,9.26,2025-10-06 18:41:31.719277
taste,netral,KOPI SUSU,STRAWBERRY,24.630000000000003,2025-10-06 18:41:31.719277
taste,netral,KOPI SUSU,TEH HIJAU,14.19,2025-10-06 18:41:31.719277
taste,netral,KOPI SUSU,TEH LECI,24.520000000000003,2025-10-06 18:41:31.719277
taste,netral,KOPI SUSU,TEH STRAWBERRY,13.200000000000001,2025-10-06 18:41:31.719277
taste,netral,STRAWBERRY,TEH HIJAU,16.650000000000002,2025-10-06 18:41:31.719277
taste,netral,STRAWBERRY,TEH LECI,35.440000000000005,2025-10-06 18:41:31.719277
taste,netral,STRAWBERRY,TEH STRAWBERRY,31.710000000000004,2025-10-06 18:41:31.719277
taste,netral,TEH HIJAU,TEH LECI,30.724500000000003,2025-10-06 18:41:31.719277
taste,netral,TEH HIJAU,TEH STRAWBERRY,19.1045,2025-10-06 18:41:31.719277
taste,netral,TEH LECI,TEH STRAWBERRY,31.485000000000003,2025-10-06 18:41:31.719277
mood,rileks,KOPI SUSU,STRAWBERRY,11.600000000000001,2025-10-06 18:41:31.719277
mood,rileks,KOPI SUSU,TEH HIJAU,8.75,2025-10-06 18:41:31.719277
mood,rileks,KOPI SUSU,TEH LECI,7.75,2025-10-06 18:41:31.719277
mood,rileks,KOPI SUSU,TEH STRAWBERRY,6.749999999999999,2025-10-06 18:41:31.719277
mood,rileks,STRAWBERRY,TEH HIJAU,4.8999999999999995,2025-10-06 18:41:31.719277
mood,rileks,STRAWBERRY,TEH LECI,10.8,2025-10-06 18:41:31.719277
mood,rileks,STRAWBERRY,TEH STRAWBERRY,7.6,2025-10-06 18:41:31.719277
mood,rileks,TEH HIJAU,TEH LECI,8.6,2025-10-06 18:41:31.719277
