category,metric,value
generation_info,n_users,1500
generation_info,random_seed,42
generation_info,export_timestamp,2025-10-06T18:41:25.424518
generation_info,total_generated_users,1500
preference_distribution,taste_manis,0.2673333333333333
preference_distribution,taste_asam,0.254
preference_distribution,taste_netral,0.24133333333333334
preference_distribution,taste_pahit,0.23733333333333334
preference_distribution,mood_menyegarkan,0.30666666666666664
preference_distribution,mood_rileks,0.27466666666666667
preference_distribution,mood_energi,0.24266666666666667
preference_distribution,mood_manis,0.176
preference_distribution,texture_creamy,0.31266666666666665
preference_distribution,texture_light,0.2846666666666667
preference_distribution,texture_bubbly,0.262
preference_distribution,texture_heavy,0.14066666666666666
preference_distribution,caffeine_rendah,0.294
preference_distribution,caffeine_non-kafein,0.286
preference_distribution,caffeine_sedang,0.244
preference_distribution,caffeine_tinggi,0.176
preference_distribution,temperature_dingin,0.416
preference_distribution,temperature_bebas,0.2986666666666667
preference_distribution,temperature_panas,0.2853333333333333
preference_distribution,budget_high,0.2786666666666667
preference_distribution,budget_bebas,0.25533333333333336
preference_distribution,budget_mid,0.24533333333333332
preference_distribution,budget_low,0.22066666666666668
selection_stats,avg_items_per_user,4.492666666666667
selection_stats,min_items_per_user,3
selection_stats,max_items_per_user,6
selection_stats,std_items_per_user,1.1320190812684179
