user_id;taste;mood;texture;caffeine;temperature;budget;selected_item_1;selected_item_2;selected_item_3;selected_item_4;selected_item_5;selected_item_6;n_selected_items;export_timestamp
1;manis;energi;heavy;sedang;panas;high;BISCOFFEE;STRAWBERRY;TEH;;;;3;51:58.1
2;netral;energi;light;sedang;panas;mid;LYCHEE SQUASH;TEH;KOPI LEMON;MACCHIATO;MOCHACCINO;TEH JAHE;6;51:58.1
3;netral;rileks;light;sedang;panas;low;STRAWBERRY;KOPI SUSU;TEH STRAWBERRY;TEH HIJAU;KOPI GULA AREN;;5;51:58.1
4;netral;energi;light;tinggi;bebas;mid;LEMON KISS;TEH HIJAU;TEH SEREH;;;;3;51:58.1
5;manis;menyegarkan;creamy;non-kafein;bebas;bebas;BANANA;TEH;KOPI GULA AREN;MANGO;CHOCOLATE;;5;51:58.1
6;manis;manis;creamy;rendah;bebas;mid;KOPI GULA AREN;MANGO;CHOCOLATE;CRUNCHY CREAMY;STRAWBERRY;;5;51:58.1
7;asam;menyegarkan;bubbly;rendah;dingin;high;KOPI GULA AREN;KOPI LEMON;LEMON KISS;;;;3;51:58.1
8;asam;menyegarkan;bubbly;non-kafein;dingin;mid;LEMON SQUASH;LYCHEE SQUASH;JAHE MERAH;VARIASI PINK;BISCOFFEE;STRAWBERRY;6;51:58.1
9;pahit;rileks;creamy;sedang;dingin;high;TEH HIJAU;AMERICANO;KOPI SODA;BISCOFFEE;;;4;51:58.1
10;netral;menyegarkan;creamy;sedang;panas;bebas;BERRY SQUASH;TEH HIJAU;KOPI SUSU;TEH LECI;TEH LEMON;;5;51:58.1
11;netral;rileks;bubbly;non-kafein;bebas;high;TEH JAHE;JAHE MERAH;LEMON KISS;TELANG SQUASH;;;4;51:58.1
12;asam;menyegarkan;bubbly;non-kafein;panas;bebas;LEMON KISS;STRAWBERRY;LEMON SQUASH;CHOCOLATE;;;4;51:58.1
13;manis;energi;creamy;sedang;bebas;high;TEH;CHOCOLATE;BISCOFFEE;;;;3;51:58.1
14;netral;energi;light;rendah;bebas;bebas;STRAWBERRY;LEMON SQUASH;TEH JAHE;;;;3;51:58.1
15;manis;rileks;heavy;tinggi;dingin;high;KOPI GULA AREN;BISCOFFEE;TEH;;;;3;51:58.1
16;asam;menyegarkan;creamy;non-kafein;dingin;mid;LEMON SQUASH;STRAWBERRY;CRUNCHY CREAMY;VARIASI PINK;;;4;51:58.1
17;netral;rileks;light;non-kafein;dingin;mid;TEH HIJAU;LYCHEE SQUASH;TEH;VARIASI PINK;;;4;51:58.1
18;asam;menyegarkan;heavy;non-kafein;dingin;mid;STRAWBERRY;LYCHEE SQUASH;LEMON SQUASH;VARIASI PINK;LEMON KISS;;5;51:58.1
19;netral;energi;creamy;sedang;panas;high;VARIASI PINK;TEH STRAWBERRY;JAHE MERAH;TEH JAHE SEREH;BERRY SQUASH;TEH LEMON;6;51:58.1
20;manis;manis;creamy;sedang;panas;high;BISCOFFEE;TEH;AVOCADO;MANGO;;;4;51:58.1
21;pahit;manis;bubbly;sedang;panas;bebas;MACCHIATO;TEH LEMON;BISCOFFEE;KOPI LEMON;MOCHACCINO;KOPI SODA;6;51:58.1
22;asam;menyegarkan;light;rendah;dingin;low;LEMON SQUASH;VARIASI PINK;LYCHEE SQUASH;BISCOFFEE;KOPI LEMON;TEH HIJAU;6;51:58.1
23;manis;manis;creamy;non-kafein;bebas;mid;AVOCADO;BANANA;MANGO;BISCOFFEE;STRAWBERRY;CRUNCHY CREAMY;6;51:58.1
24;manis;energi;heavy;rendah;dingin;bebas;BISCOFFEE;CRUNCHY CREAMY;AVOCADO;;;;3;51:58.1
25;pahit;rileks;light;sedang;panas;bebas;TEH JAHE;KOPI GULA AREN;KOPI SUSU;;;;3;51:58.1
26;asam;menyegarkan;bubbly;sedang;dingin;bebas;SANGER;CAPPUCCINO;TEH SEREH;AMERICANO;MOCHACCINO;KOPI SUSU;6;51:58.1
27;asam;menyegarkan;light;sedang;dingin;high;KOPI LEMON;LYCHEE SQUASH;LEMON KISS;;;;3;51:58.1
28;netral;energi;light;sedang;panas;mid;BERRY SQUASH;TELANG SQUASH;SANGER;;;;3;51:58.1
29;manis;menyegarkan;light;rendah;dingin;mid;BISCOFFEE;CRUNCHY CREAMY;MANGO;STRAWBERRY;BANANA;;5;51:58.1
30;manis;energi;creamy;rendah;bebas;high;KOPI GULA AREN;BANANA;TEH;;;;3;51:58.1
31;pahit;energi;light;tinggi;panas;mid;TEH JAHE SEREH;TEH SEREH;KOPI SODA;MOCHACCINO;TEH;;5;51:58.1
32;manis;energi;creamy;tinggi;panas;mid;BISCOFFEE;CHOCOLATE;BANANA;;;;3;51:58.1
33;pahit;rileks;bubbly;non-kafein;bebas;bebas;KOPI GULA AREN;ESPRESSO;TEH LECI;JAHE MERAH;TEH;KOPI LEMON;6;51:58.1
34;asam;menyegarkan;bubbly;non-kafein;dingin;high;LYCHEE SQUASH;MACCHIATO;VARIASI PINK;TELANG SQUASH;TEH;;5;51:58.1
35;netral;menyegarkan;creamy;sedang;dingin;mid;TELANG SQUASH;TEH SEREH;JAHE MERAH;TEH LEMON;TEH;;5;51:58.1
36;manis;rileks;light;rendah;bebas;high;KOPI GULA AREN;AVOCADO;MANGO;STRAWBERRY;;;4;51:58.1
37;pahit;rileks;bubbly;sedang;panas;mid;MOCHACCINO;TEH SEREH;ESPRESSO;KOPI SODA;;;4;51:58.1
38;pahit;rileks;bubbly;sedang;panas;high;MACCHIATO;TEH SEREH;ESPRESSO;SANGER;TEH LEMON;;5;51:58.1
39;asam;menyegarkan;heavy;rendah;dingin;low;LEMON SQUASH;BERRY SQUASH;BANANA;LEMON KISS;TEH STRAWBERRY;CAPPUCCINO;6;51:58.1
40;asam;menyegarkan;light;rendah;dingin;mid;KOPI LEMON;TEH HIJAU;TEH;TEH LECI;;;4;51:58.1
41;asam;menyegarkan;light;tinggi;dingin;bebas;TEH LEMON;KOPI LEMON;LEMON SQUASH;TEH;TEH HIJAU;TEH STRAWBERRY;6;51:58.1
42;manis;rileks;light;non-kafein;dingin;high;STRAWBERRY;CHOCOLATE;AVOCADO;BANANA;TEH;;5;51:58.1
43;pahit;rileks;light;sedang;dingin;mid;AMERICANO;KOPI LEMON;KOPI SUSU;MACCHIATO;;;4;51:58.1
44;manis;energi;creamy;tinggi;dingin;high;TEH;BISCOFFEE;CRUNCHY CREAMY;;;;3;51:58.1
45;pahit;rileks;creamy;sedang;panas;high;KOPI GULA AREN;JAHE MERAH;MOCHACCINO;MACCHIATO;;;4;51:58.1
46;pahit;manis;creamy;tinggi;dingin;low;TEH SEREH;TEH HIJAU;CAPPUCCINO;MACCHIATO;TEH JAHE SEREH;TEH LEMON;6;51:58.1
47;asam;menyegarkan;bubbly;rendah;dingin;low;LYCHEE SQUASH;KOPI LEMON;CAPPUCCINO;;;;3;51:58.1
48;manis;rileks;light;non-kafein;bebas;high;MANGO;BISCOFFEE;KOPI GULA AREN;CHOCOLATE;;;4;51:58.1
49;manis;energi;creamy;sedang;panas;bebas;KOPI GULA AREN;BISCOFFEE;TEH;;;;3;51:58.1
50;netral;manis;heavy;sedang;bebas;bebas;JAHE MERAH;VARIASI PINK;TEH SEREH;TEH;KOPI GULA AREN;TEH LEMON;6;51:58.1
51;pahit;energi;heavy;sedang;dingin;high;SANGER;KOPI GULA AREN;KOPI SODA;TEH STRAWBERRY;TEH LEMON;JAHE MERAH;6;51:58.1
52;pahit;rileks;light;sedang;bebas;bebas;KOPI GULA AREN;TEH JAHE;KOPI LEMON;KOPI SODA;;;4;51:58.1
53;manis;rileks;bubbly;tinggi;dingin;low;BISCOFFEE;MANGO;STRAWBERRY;TEH;;;4;51:58.1
54;manis;menyegarkan;heavy;non-kafein;dingin;low;AVOCADO;TEH;BISCOFFEE;MANGO;CRUNCHY CREAMY;;5;51:58.1
55;netral;rileks;creamy;sedang;dingin;low;JAHE MERAH;LEMON SQUASH;TEH LECI;TEH STRAWBERRY;;;4;51:58.1
56;pahit;energi;light;rendah;panas;low;TEH HIJAU;KOPI GULA AREN;MOCHACCINO;TEH LEMON;KOPI LEMON;;5;51:58.1
57;pahit;manis;bubbly;tinggi;bebas;mid;TEH SEREH;KOPI SODA;MOCHACCINO;TEH LEMON;TEH;TEH HIJAU;6;51:58.1
58;pahit;energi;bubbly;sedang;dingin;bebas;TEH;AMERICANO;KOPI SUSU;BISCOFFEE;;;4;51:58.1
59;pahit;energi;heavy;sedang;bebas;mid;MACCHIATO;BISCOFFEE;SANGER;AMERICANO;;;4;51:58.1
60;pahit;energi;heavy;sedang;bebas;mid;KOPI SODA;SANGER;TEH HIJAU;MOCHACCINO;;;4;51:58.1
61;asam;menyegarkan;creamy;non-kafein;dingin;low;LEMON SQUASH;BERRY SQUASH;TEH LECI;TELANG SQUASH;VARIASI PINK;CAPPUCCINO;6;51:58.1
62;manis;energi;creamy;rendah;panas;high;BISCOFFEE;MANGO;CHOCOLATE;;;;3;51:58.1
63;manis;manis;creamy;non-kafein;panas;high;MANGO;AVOCADO;BISCOFFEE;CRUNCHY CREAMY;BANANA;;5;51:58.1
64;manis;rileks;creamy;non-kafein;dingin;high;MANGO;TEH;AVOCADO;CRUNCHY CREAMY;KOPI GULA AREN;BANANA;6;51:58.1
65;manis;manis;bubbly;rendah;panas;mid;BISCOFFEE;AVOCADO;BANANA;CHOCOLATE;;;4;51:58.1
66;manis;manis;creamy;rendah;bebas;high;CHOCOLATE;KOPI GULA AREN;BANANA;BISCOFFEE;;;4;51:58.1
67;pahit;menyegarkan;creamy;sedang;panas;low;ESPRESSO;MACCHIATO;KOPI GULA AREN;TEH STRAWBERRY;MOCHACCINO;;5;51:58.1
68;manis;manis;creamy;non-kafein;panas;high;BANANA;CHOCOLATE;CRUNCHY CREAMY;KOPI GULA AREN;TEH;AVOCADO;6;51:58.1
69;pahit;rileks;heavy;tinggi;dingin;bebas;AMERICANO;TEH JAHE;TEH HIJAU;KOPI SODA;;;4;51:58.1
