user_id,taste,mood,texture,caffeine,temperature,budget,selected_item_1,selected_item_2,selected_item_3,selected_item_4,selected_item_5,selected_item_6,n_selected_items,export_timestamp
1,manis,energi,heavy,sedang,panas,high,BISCOFFEE,STRAWBERRY,TEH,,,,3,2025-10-06 18:41:25.408430
2,netral,energi,light,sedang,panas,mid,LYCHEE SQUASH,TEH,KOPI LEMON,MACCHIATO,TEH LECI,TEH JAHE,6,2025-10-06 18:41:25.408430
3,netral,rileks,light,sedang,panas,low,STRAWBERRY,KOPI SUSU,TEH STRAWBERRY,TEH HIJAU,TEH LECI,,5,2025-10-06 18:41:25.408430
4,netral,energi,light,tinggi,bebas,mid,TEH STRAWBERRY,TEH HIJAU,TEH SEREH,,,,3,2025-10-06 18:41:25.408430
5,manis,menyegarkan,creamy,non-kafein,bebas,bebas,BANANA,TEH,KOPI GULA AREN,AVOCADO,CHOCOLATE,,5,2025-10-06 18:41:25.408430
6,manis,manis,creamy,rendah,bebas,mid,KOPI GULA AREN,MANGO,CHOCOLATE,CRUNCHY CREAMY,STRAWBERRY,,5,2025-10-06 18:41:25.408430
7,asam,menyegarkan,bubbly,rendah,dingin,high,KOPI LEMON,LEMON KISS,TEH STRAWBERRY,,,,3,2025-10-06 18:41:25.408430
8,asam,menyegarkan,bubbly,non-kafein,dingin,mid,LEMON SQUASH,JAHE MERAH,LEMON KISS,VARIASI PINK,BISCOFFEE,BERRY SQUASH,6,2025-10-06 18:41:25.408430
9,pahit,rileks,creamy,sedang,dingin,high,TEH HIJAU,AMERICANO,KOPI SODA,BISCOFFEE,,,4,2025-10-06 18:41:25.408430
10,netral,menyegarkan,creamy,sedang,panas,bebas,BERRY SQUASH,TEH HIJAU,KOPI SUSU,TEH JAHE SEREH,TEH LEMON,,5,2025-10-06 18:41:25.408430
11,netral,rileks,bubbly,non-kafein,bebas,high,TEH JAHE,JAHE MERAH,LEMON KISS,TELANG SQUASH,,,4,2025-10-06 18:41:25.408430
12,asam,menyegarkan,bubbly,non-kafein,panas,bebas,BERRY SQUASH,LEMON KISS,STRAWBERRY,LEMON SQUASH,,,4,2025-10-06 18:41:25.408430
13,manis,energi,creamy,sedang,bebas,high,TEH,CHOCOLATE,BISCOFFEE,,,,3,2025-10-06 18:41:25.408430
14,netral,energi,light,rendah,bebas,bebas,STRAWBERRY,LEMON SQUASH,TEH JAHE,,,,3,2025-10-06 18:41:25.408430
15,manis,rileks,heavy,tinggi,dingin,high,KOPI GULA AREN,BISCOFFEE,TEH,,,,3,2025-10-06 18:41:25.408430
16,asam,menyegarkan,creamy,non-kafein,dingin,mid,LEMON SQUASH,CRUNCHY CREAMY,JAHE MERAH,VARIASI PINK,,,4,2025-10-06 18:41:25.408430
17,netral,rileks,light,non-kafein,dingin,mid,TEH HIJAU,STRAWBERRY,TEH,LYCHEE SQUASH,,,4,2025-10-06 18:41:25.408430
18,asam,menyegarkan,heavy,non-kafein,dingin,mid,STRAWBERRY,LYCHEE SQUASH,LEMON KISS,TEH LEMON,LEMON SQUASH,,5,2025-10-06 18:41:25.408430
19,netral,energi,creamy,sedang,panas,high,VARIASI PINK,TEH STRAWBERRY,JAHE MERAH,TEH JAHE SEREH,BERRY SQUASH,TEH LEMON,6,2025-10-06 18:41:25.408430
20,manis,manis,creamy,sedang,panas,high,BISCOFFEE,TEH,AVOCADO,MANGO,,,4,2025-10-06 18:41:25.408430
21,pahit,manis,bubbly,sedang,panas,bebas,MACCHIATO,TEH LEMON,BISCOFFEE,KOPI LEMON,MOCHACCINO,KOPI SODA,6,2025-10-06 18:41:25.408430
22,asam,menyegarkan,light,rendah,dingin,low,LEMON SQUASH,TEH,TEH SEREH,LYCHEE SQUASH,KOPI LEMON,KOPI SODA,6,2025-10-06 18:41:25.408430
23,manis,manis,creamy,non-kafein,bebas,mid,AVOCADO,BANANA,MANGO,BISCOFFEE,STRAWBERRY,CRUNCHY CREAMY,6,2025-10-06 18:41:25.408430
24,manis,energi,heavy,rendah,dingin,bebas,BISCOFFEE,CRUNCHY CREAMY,AVOCADO,,,,3,2025-10-06 18:41:25.408430
25,pahit,rileks,light,sedang,panas,bebas,TEH JAHE,TEH LEMON,KOPI SUSU,,,,3,2025-10-06 18:41:25.408430
26,asam,menyegarkan,bubbly,sedang,dingin,bebas,SANGER,CAPPUCCINO,ESPRESSO,AMERICANO,TEH SEREH,TEH JAHE,6,2025-10-06 18:41:25.408430
27,asam,menyegarkan,light,sedang,dingin,high,ESPRESSO,LYCHEE SQUASH,KOPI LEMON,,,,3,2025-10-06 18:41:25.408430
28,netral,energi,light,sedang,panas,mid,BERRY SQUASH,TELANG SQUASH,SANGER,,,,3,2025-10-06 18:41:25.408430
29,manis,menyegarkan,light,rendah,dingin,mid,BISCOFFEE,CRUNCHY CREAMY,MANGO,STRAWBERRY,BANANA,,5,2025-10-06 18:41:25.408430
30,manis,energi,creamy,rendah,bebas,high,KOPI GULA AREN,BANANA,TEH,,,,3,2025-10-06 18:41:25.408430
31,pahit,energi,light,tinggi,panas,mid,TEH JAHE SEREH,TEH SEREH,KOPI SODA,MOCHACCINO,TEH,,5,2025-10-06 18:41:25.408430
32,manis,energi,creamy,tinggi,panas,mid,BISCOFFEE,CHOCOLATE,BANANA,,,,3,2025-10-06 18:41:25.408430
33,pahit,rileks,bubbly,non-kafein,bebas,bebas,KOPI GULA AREN,ESPRESSO,TEH LECI,JAHE MERAH,TEH,KOPI LEMON,6,2025-10-06 18:41:25.408430
34,asam,menyegarkan,bubbly,non-kafein,dingin,high,LYCHEE SQUASH,MACCHIATO,VARIASI PINK,TELANG SQUASH,TEH,,5,2025-10-06 18:41:25.408430
35,netral,menyegarkan,creamy,sedang,dingin,mid,TELANG SQUASH,KOPI LEMON,JAHE MERAH,MACCHIATO,TEH,,5,2025-10-06 18:41:25.408430
36,manis,rileks,light,rendah,bebas,high,KOPI GULA AREN,AVOCADO,MANGO,STRAWBERRY,,,4,2025-10-06 18:41:25.408430
37,pahit,rileks,bubbly,sedang,panas,mid,MOCHACCINO,TEH SEREH,ESPRESSO,KOPI SODA,,,4,2025-10-06 18:41:25.408430
38,pahit,rileks,bubbly,sedang,panas,high,MACCHIATO,TEH SEREH,ESPRESSO,SANGER,TEH LEMON,,5,2025-10-06 18:41:25.408430
39,asam,menyegarkan,heavy,rendah,dingin,low,LEMON SQUASH,BERRY SQUASH,AVOCADO,LEMON KISS,JAHE MERAH,AMERICANO,6,2025-10-06 18:41:25.408430
40,asam,menyegarkan,light,rendah,dingin,mid,KOPI LEMON,TEH HIJAU,TEH LECI,LYCHEE SQUASH,,,4,2025-10-06 18:41:25.408430
41,asam,menyegarkan,light,tinggi,dingin,bebas,MACCHIATO,KOPI LEMON,KOPI SODA,TEH STRAWBERRY,LEMON SQUASH,TEH,6,2025-10-06 18:41:25.408430
42,manis,rileks,light,non-kafein,dingin,high,STRAWBERRY,CHOCOLATE,AVOCADO,BANANA,TEH,,5,2025-10-06 18:41:25.408430
43,pahit,rileks,light,sedang,dingin,mid,AMERICANO,KOPI LEMON,TEH,MACCHIATO,,,4,2025-10-06 18:41:25.408430
44,manis,energi,creamy,tinggi,dingin,high,TEH,BISCOFFEE,CRUNCHY CREAMY,,,,3,2025-10-06 18:41:25.408430
45,pahit,rileks,creamy,sedang,panas,high,KOPI GULA AREN,JAHE MERAH,MOCHACCINO,MACCHIATO,,,4,2025-10-06 18:41:25.408430
46,pahit,manis,creamy,tinggi,dingin,low,TEH SEREH,TEH HIJAU,CAPPUCCINO,MACCHIATO,TEH JAHE SEREH,TEH LEMON,6,2025-10-06 18:41:25.408430
47,asam,menyegarkan,bubbly,rendah,dingin,low,TELANG SQUASH,KOPI LEMON,CAPPUCCINO,,,,3,2025-10-06 18:41:25.408430
48,manis,rileks,light,non-kafein,bebas,high,MANGO,BISCOFFEE,KOPI GULA AREN,CHOCOLATE,,,4,2025-10-06 18:41:25.408430
49,manis,energi,creamy,sedang,panas,bebas,KOPI GULA AREN,BISCOFFEE,TEH,,,,3,2025-10-06 18:41:25.408430
50,netral,manis,heavy,sedang,bebas,bebas,JAHE MERAH,VARIASI PINK,TEH SEREH,TEH,KOPI GULA AREN,TEH LEMON,6,2025-10-06 18:41:25.408430
51,pahit,energi,heavy,sedang,dingin,high,SANGER,KOPI GULA AREN,KOPI SODA,TEH STRAWBERRY,TEH LEMON,JAHE MERAH,6,2025-10-06 18:41:25.408430
52,pahit,rileks,light,sedang,bebas,bebas,KOPI LEMON,TEH HIJAU,KOPI SODA,TEH,,,4,2025-10-06 18:41:25.408430
53,manis,rileks,bubbly,tinggi,dingin,low,BISCOFFEE,MANGO,STRAWBERRY,TEH,,,4,2025-10-06 18:41:25.408430
54,manis,menyegarkan,heavy,non-kafein,dingin,low,AVOCADO,TEH,MANGO,CRUNCHY CREAMY,BANANA,,5,2025-10-06 18:41:25.408430
55,netral,rileks,creamy,sedang,dingin,low,JAHE MERAH,LEMON SQUASH,TEH LECI,TEH STRAWBERRY,,,4,2025-10-06 18:41:25.408430
56,pahit,energi,light,rendah,panas,low,TEH HIJAU,KOPI GULA AREN,MOCHACCINO,TEH LEMON,KOPI LEMON,,5,2025-10-06 18:41:25.408430
57,pahit,manis,bubbly,tinggi,bebas,mid,TEH SEREH,KOPI SODA,MOCHACCINO,TEH LEMON,TEH,TEH HIJAU,6,2025-10-06 18:41:25.408430
58,pahit,energi,bubbly,sedang,dingin,bebas,TEH,AMERICANO,KOPI SUSU,BISCOFFEE,,,4,2025-10-06 18:41:25.408430
59,pahit,energi,heavy,sedang,bebas,mid,MACCHIATO,BISCOFFEE,SANGER,AMERICANO,,,4,2025-10-06 18:41:25.408430
60,pahit,energi,heavy,sedang,bebas,mid,KOPI SODA,SANGER,TEH HIJAU,MOCHACCINO,,,4,2025-10-06 18:41:25.408430
61,asam,menyegarkan,creamy,non-kafein,dingin,low,VARIASI PINK,AVOCADO,TEH LECI,JAHE MERAH,CAPPUCCINO,LEMON KISS,6,2025-10-06 18:41:25.408430
62,manis,energi,creamy,rendah,panas,high,BISCOFFEE,AVOCADO,CHOCOLATE,,,,3,2025-10-06 18:41:25.408430
63,manis,manis,creamy,non-kafein,panas,high,MANGO,AVOCADO,BISCOFFEE,CRUNCHY CREAMY,BANANA,,5,2025-10-06 18:41:25.408430
64,manis,rileks,creamy,non-kafein,dingin,high,MANGO,TEH,AVOCADO,CRUNCHY CREAMY,KOPI GULA AREN,BANANA,6,2025-10-06 18:41:25.408430
65,manis,manis,bubbly,rendah,panas,mid,BISCOFFEE,AVOCADO,BANANA,CHOCOLATE,,,4,2025-10-06 18:41:25.408430
66,manis,manis,creamy,rendah,bebas,high,CHOCOLATE,KOPI GULA AREN,BANANA,BISCOFFEE,,,4,2025-10-06 18:41:25.408430
67,pahit,menyegarkan,creamy,sedang,panas,low,ESPRESSO,MACCHIATO,KOPI GULA AREN,TEH STRAWBERRY,MOCHACCINO,,5,2025-10-06 18:41:25.408430
68,manis,manis,creamy,non-kafein,panas,high,BANANA,CHOCOLATE,CRUNCHY CREAMY,KOPI GULA AREN,TEH,AVOCADO,6,2025-10-06 18:41:25.408430
69,pahit,rileks,heavy,tinggi,dingin,bebas,AMERICANO,TEH JAHE,TEH HIJAU,KOPI SODA,,,4,2025-10-06 18:41:25.408430
70,asam,menyegarkan,light,rendah,panas,mid,LEMON SQUASH,TEH HIJAU,AVOCADO,CAPPUCCINO,TEH LECI,TEH STRAWBERRY,6,2025-10-06 18:41:25.408430
71,netral,energi,heavy,sedang,panas,high,LEMON KISS,KOPI SUSU,BERRY SQUASH,,,,3,2025-10-06 18:41:25.408430
72,manis,rileks,light,rendah,bebas,mid,BISCOFFEE,MANGO,STRAWBERRY,TEH,,,4,2025-10-06 18:41:25.408430
73,manis,menyegarkan,creamy,non-kafein,bebas,low,MANGO,BISCOFFEE,AVOCADO,BANANA,CRUNCHY CREAMY,,5,2025-10-06 18:41:25.408430
74,asam,menyegarkan,bubbly,rendah,bebas,mid,LEMON SQUASH,BERRY SQUASH,LEMON KISS,AMERICANO,ESPRESSO,,5,2025-10-06 18:41:25.408430
75,asam,menyegarkan,bubbly,rendah,dingin,bebas,LYCHEE SQUASH,KOPI LEMON,KOPI SODA,LEMON KISS,,,4,2025-10-06 18:41:25.408430
76,netral,rileks,light,sedang,bebas,high,JAHE MERAH,TEH JAHE SEREH,KOPI GULA AREN,LEMON KISS,,,4,2025-10-06 18:41:25.408430
77,netral,rileks,creamy,non-kafein,dingin,low,TEH JAHE SEREH,STRAWBERRY,LEMON SQUASH,TEH LEMON,LYCHEE SQUASH,,5,2025-10-06 18:41:25.408430
78,pahit,rileks,creamy,tinggi,dingin,high,TEH STRAWBERRY,TEH LEMON,TEH SEREH,TEH JAHE SEREH,,,4,2025-10-06 18:41:25.408430
79,manis,energi,creamy,non-kafein,bebas,mid,CRUNCHY CREAMY,MANGO,AVOCADO,,,,3,2025-10-06 18:41:25.408430
80,manis,manis,creamy,tinggi,bebas,high,BISCOFFEE,AVOCADO,KOPI GULA AREN,TEH,,,4,2025-10-06 18:41:25.408430
81,pahit,rileks,heavy,tinggi,panas,high,TEH,KOPI SODA,TEH JAHE SEREH,,,,3,2025-10-06 18:41:25.408430
82,manis,manis,creamy,non-kafein,dingin,bebas,CHOCOLATE,BISCOFFEE,CRUNCHY CREAMY,AVOCADO,BANANA,,5,2025-10-06 18:41:25.408430
83,pahit,energi,creamy,sedang,panas,mid,TEH STRAWBERRY,KOPI LEMON,MACCHIATO,MOCHACCINO,,,4,2025-10-06 18:41:25.408430
84,manis,manis,bubbly,non-kafein,bebas,mid,MANGO,STRAWBERRY,CHOCOLATE,,,,3,2025-10-06 18:41:25.408430
85,pahit,rileks,light,tinggi,dingin,high,AMERICANO,MACCHIATO,ESPRESSO,,,,3,2025-10-06 18:41:25.408430
86,netral,rileks,creamy,sedang,dingin,bebas,LEMON KISS,TEH JAHE SEREH,TEH,TEH HIJAU,,,4,2025-10-06 18:41:25.408430
87,pahit,energi,light,tinggi,bebas,mid,TEH SEREH,MOCHACCINO,AMERICANO,TEH,JAHE MERAH,,5,2025-10-06 18:41:25.408430
88,manis,manis,creamy,rendah,bebas,bebas,BISCOFFEE,CHOCOLATE,BANANA,TEH,STRAWBERRY,CRUNCHY CREAMY,6,2025-10-06 18:41:25.408430
89,pahit,energi,heavy,tinggi,panas,high,KOPI LEMON,MACCHIATO,TEH STRAWBERRY,KOPI SUSU,TEH LECI,,5,2025-10-06 18:41:25.408430
90,netral,energi,light,non-kafein,dingin,mid,KOPI LEMON,STRAWBERRY,TEH SEREH,TEH LEMON,LEMON KISS,KOPI SUSU,6,2025-10-06 18:41:25.408430
91,asam,manis,bubbly,rendah,dingin,high,LYCHEE SQUASH,MACCHIATO,MOCHACCINO,TEH LECI,KOPI LEMON,BERRY SQUASH,6,2025-10-06 18:41:25.408430
92,netral,manis,light,rendah,dingin,bebas,TEH STRAWBERRY,VARIASI PINK,TEH LEMON,JAHE MERAH,TEH JAHE,TEH HIJAU,6,2025-10-06 18:41:25.408430
93,pahit,energi,heavy,tinggi,bebas,low,TEH STRAWBERRY,MOCHACCINO,AMERICANO,KOPI GULA AREN,KOPI SODA,,5,2025-10-06 18:41:25.408430
94,manis,rileks,creamy,rendah,panas,mid,BISCOFFEE,CHOCOLATE,CRUNCHY CREAMY,BANANA,AVOCADO,MANGO,6,2025-10-06 18:41:25.408430
95,netral,energi,creamy,rendah,panas,mid,JAHE MERAH,MOCHACCINO,TEH JAHE,,,,3,2025-10-06 18:41:25.408430
96,pahit,energi,bubbly,sedang,bebas,high,KOPI LEMON,ESPRESSO,SANGER,TEH STRAWBERRY,,,4,2025-10-06 18:41:25.408430
97,asam,menyegarkan,bubbly,rendah,bebas,high,LYCHEE SQUASH,TEH JAHE SEREH,LEMON KISS,,,,3,2025-10-06 18:41:25.408430
98,pahit,energi,light,tinggi,dingin,low,KOPI GULA AREN,TEH LEMON,BISCOFFEE,,,,3,2025-10-06 18:41:25.408430
99,netral,energi,bubbly,rendah,bebas,bebas,JAHE MERAH,TEH,SANGER,,,,3,2025-10-06 18:41:25.408430
100,netral,rileks,creamy,rendah,panas,high,JAHE MERAH,TEH SEREH,TEH JAHE,TEH STRAWBERRY,KOPI GULA AREN,KOPI SUSU,6,2025-10-06 18:41:25.408430
101,pahit,energi,light,sedang,dingin,mid,KOPI SODA,SANGER,MACCHIATO,ESPRESSO,,,4,2025-10-06 18:41:25.408430
102,manis,rileks,light,non-kafein,dingin,mid,CRUNCHY CREAMY,TEH,CHOCOLATE,AVOCADO,MANGO,BANANA,6,2025-10-06 18:41:25.408430
103,asam,menyegarkan,bubbly,non-kafein,dingin,high,MANGO,BANANA,VARIASI PINK,TELANG SQUASH,KOPI SUSU,TEH,6,2025-10-06 18:41:25.408430
104,asam,menyegarkan,light,rendah,dingin,mid,TELANG SQUASH,TEH HIJAU,KOPI LEMON,BERRY SQUASH,,,4,2025-10-06 18:41:25.408430
105,asam,menyegarkan,bubbly,non-kafein,bebas,bebas,LEMON SQUASH,VARIASI PINK,MANGO,TEH STRAWBERRY,,,4,2025-10-06 18:41:25.408430
106,pahit,energi,light,tinggi,panas,high,TEH JAHE,KOPI LEMON,TEH LECI,TEH,BISCOFFEE,MOCHACCINO,6,2025-10-06 18:41:25.408430
107,netral,energi,light,sedang,panas,mid,STRAWBERRY,JAHE MERAH,LYCHEE SQUASH,,,,3,2025-10-06 18:41:25.408430
108,netral,energi,creamy,sedang,dingin,high,BERRY SQUASH,TEH,KOPI LEMON,TEH JAHE,MACCHIATO,,5,2025-10-06 18:41:25.408430
109,netral,manis,light,rendah,panas,high,TEH LECI,KOPI LEMON,LEMON SQUASH,TEH HIJAU,LEMON KISS,TEH JAHE SEREH,6,2025-10-06 18:41:25.408430
