question,answer,co_occurrence,sim_rasa_manis,diff_rasa_manis,diff_sweetness_score,diff_kafein_score,sim_kafein_score,diff_harga,sim_harga,prod_harga,avg_harga,diff_carbonated_score,sim_carbonated_score,taste_consistency,avg_kafein_score,export_timestamp,source_users,source_seed
budget,bebas,1.0,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,2.1,0.0,1.0,0.8,1.0,0.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,5.0,0.33333333333333337,0.6666666666666666,0.5,1.0,0.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,6.25,0.0,1.0,0.7,0.0,1.0,0.388888888888889,0.6111111111111109,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,15.845999999999997,0.8888888888888888,0.11111111111111112,0.2,0.0,1.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,1.0,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,2.0,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,9.0045,1.0,0.0,0.0,0.0,1.0,0.2777777777777778,0.7222222222222222,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,12.2,0.5555555555555556,0.4444444444444445,0.5,1.0,0.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,6.0745,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,20.0415,0.7777777777777778,0.22222222222222224,0.0,0.0,1.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,11.379999999999999,0.7777777777777778,0.22222222222222224,0.0,0.0,1.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,6.6045,0.33333333333333337,0.6666666666666666,0.5,0.0,1.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,3.54,0.4444444444444444,0.5555555555555556,0.5,1.0,0.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,8.94,0.5555555555555556,0.4444444444444445,0.2,1.0,0.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,3.54,0.5555555555555556,0.4444444444444445,0.2,1.0,0.0,0.16666666666666669,0.8333333333333333,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,16.1465,0.5555555555555556,0.4444444444444445,0.2,0.0,1.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,1.0,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,19.509000000000004,0.6666666666666667,0.3333333333333333,0.2,0.0,1.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,5.859999999999999,0.5555555555555556,0.4444444444444445,0.5,0.0,1.0,0.0,1.0,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,2.54,0.2222222222222222,0.7777777777777778,0.8,1.0,0.0,0.27777777777777785,0.7222222222222221,,,,,,,2025-08-20 00:52:24.152873,1500,42
budget,bebas,7.265,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.4444444444444445,0.5555555555555556,,,,,,,2025-08-20 00:52:24.152873,1500,42
