question,answer,co_occurrence,sim_rasa_manis,diff_rasa_manis,diff_sweetness_score,diff_kafein_score,sim_kafein_score,prod_tekstur_HEAVY,diff_tekstur_LIGHT,diff_carbonated_score,sim_tekstur_LIGHT,avg_tekstur_HEAVY,sim_carbonated_score,taste_consistency,prod_sweetness_score,avg_kafein_score,prod_harga,avg_harga,sim_harga,export_timestamp,source_users,source_seed
budget,bebas,1.0,0.0,1.0,0.8,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.0,0.33333333333333337,0.6666666666666666,0.5,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,7.25,0.0,1.0,0.7,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,11.084999999999999,0.8888888888888888,0.11111111111111112,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.1,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.509500000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,12.2,0.5555555555555556,0.4444444444444445,0.5,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.0745,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,14.775500000000001,0.7777777777777778,0.22222222222222224,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.885,0.7777777777777778,0.22222222222222224,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.5045,0.33333333333333337,0.6666666666666666,0.5,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.48,0.4444444444444444,0.5555555555555556,0.5,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.4,0.5555555555555556,0.4444444444444445,0.2,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.0,0.5555555555555556,0.4444444444444445,0.2,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,13.144499999999997,0.5555555555555556,0.4444444444444445,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.54,0.11111111111111105,0.888888888888889,0.8,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,16.934,0.6666666666666667,0.3333333333333333,0.2,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.859999999999999,0.5555555555555556,0.4444444444444445,0.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.08,0.2222222222222222,0.7777777777777778,0.8,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,7.15,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,7.829999999999999,0.33333333333333337,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.4,0.5555555555555556,0.4444444444444445,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.365,0.5555555555555556,0.4444444444444445,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.055,0.4444444444444444,0.5555555555555556,0.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.790000000000001,0.5555555555555556,0.4444444444444445,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.364999999999999,0.33333333333333337,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.0,0.4444444444444444,0.5555555555555556,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.0,0.4444444444444444,0.5555555555555556,0.2,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.4444444444444444,0.5555555555555556,0.5,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,32.015,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.2649999999999997,0.7777777777777777,0.22222222222222232,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,30.400000000000006,0.888888888888889,0.11111111111111105,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,30.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,27.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,26.830000000000002,0.8888888888888888,0.11111111111111116,0.10000000000000009,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.2649999999999997,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.2649999999999997,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.0,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,16.59,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,26.445,0.8888888888888888,0.11111111111111116,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,21.000000000000004,0.8888888888888888,0.11111111111111116,0.10000000000000009,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.5555555555555556,0.4444444444444445,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.1,0.5555555555555556,0.4444444444444445,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.6666666666666666,0.33333333333333337,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
