feature_name;count;mean;std;min;p25;p50;p75;max
sim_rasa_manis;8685;0.731030512;0.212966403;0;0.555555556;0.777777778;0.888888889;1
diff_rasa_manis;8685;0.268969488;0.212966403;0;0.111111111;0.222222222;0.444444444;1
diff_sweetness_score;7799;0.278317733;0.221701414;0;0;0.3;0.5;0.8
diff_kafein_score;6213;0.43795268;0.496175125;0;0;0;1;1
sim_kafein_score;6213;0.56204732;0.496175125;0;0;1;1;1
diff_harga;3395;0.211585665;0.187518844;0;0.111111111;0.166666667;0.277777778;1
sim_harga;3395;0.788414335;0.187518844;-2.22E-16;0.722222222;0.833333333;0.888888889;1
prod_harga;2432;0.282434058;0.159858814;0;0.197530864;0.271604938;0.37345679;0.833333333
avg_harga;2432;0.531112939;0.144137252;0.083333333;0.444444444;0.527777778;0.611111111;0.916666667
diff_carbonated_score;2858;0.409027292;0.491740352;0;0;0;1;1
sim_carbonated_score;2858;0.590972708;0.491740352;0;0;1;1;1
taste_consistency;886;0.490913325;0.240116155;0;0.3;0.5;0.666666667;1
avg_kafein_score;886;0.659706546;0.350385621;0;0.5;0.5;1;1
