nama_minuman,rasa_asam,rasa_manis,rasa_pahit,rasa_gurih,rasa_netral,kafein_score,tingkat_kafein,tekstur_LIGHT,tekstur_CREAMY,tekstur_BUBBLY,tekstur_HEAVY,sweetness_score,carbonated_score,harga,original_harga
ESPRESSO,0.0,0.0,1.0,0.0,0.0,1.0,tinggi,1,0,0,0,0.0,0.0,0.16666666666666669,10000.00
AMERICANO,0.5714285714285715,0.0,0.9,0.0,0.16666666666666652,1.0,tinggi,1,0,0,0,0.0,0.0,0.4444444444444445,15000.00
CAPPUCCINO,0.42857142857142855,0.11111111111111112,0.8,0.0,0.33333333333333315,1.0,tinggi,1,0,0,0,0.2,0.0,0.4444444444444445,15000.00
SANGER,0.28571428571428575,0.4444444444444445,0.6,1.0,0.6666666666666669,1.0,sedang,1,0,0,0,0.5,0.0,0.4444444444444445,15000.00
MOCHACCINO,0.28571428571428575,0.3333333333333333,0.7,0.0,0.5000000000000002,1.0,tinggi,0,1,0,0,0.2,0.0,0.4444444444444445,15000.00
MACCHIATO,0.5714285714285715,0.4444444444444445,0.7,0.0,0.5000000000000002,1.0,tinggi,1,0,0,0,0.2,0.0,0.7222222222222223,20000.00
KOPI SUSU,0.0,0.6666666666666666,0.4,1.0,0.6666666666666669,1.0,sedang,0,1,0,0,0.5,0.0,0.4444444444444445,15000.00
KOPI SODA,0.0,0.22222222222222224,0.9,0.0,0.16666666666666652,1.0,tinggi,1,0,0,0,0.0,1.0,0.4444444444444445,15000.00
KOPI LEMON,1.0,0.22222222222222224,0.5,0.0,0.5000000000000002,1.0,sedang,1,0,0,0,0.0,0.0,0.6111111111111112,18000.00
KOPI GULA AREN,0.0,0.7777777777777778,0.4,0.5,0.5000000000000002,1.0,sedang,0,1,0,0,0.7,0.0,0.6111111111111112,18000.00
BISCOFFEE,0.0,1.0,0.3,1.0,0.16666666666666652,1.0,rendah,0,1,0,0,0.7,1.0,0.8333333333333335,22000.00
BERRY SQUASH,0.42857142857142855,0.6666666666666666,0.0,0.0,0.6666666666666669,0.0,non-kafein,0,0,1,0,0.5,1.0,0.6111111111111112,18000.00
LEMON SQUASH,1.0,0.4444444444444445,0.0,0.0,0.5000000000000002,0.0,non-kafein,0,0,1,0,0.2,1.0,0.6111111111111112,18000.00
LYCHEE SQUASH,0.8571428571428571,0.4444444444444445,0.0,0.0,0.6666666666666669,0.0,non-kafein,0,0,1,0,0.2,1.0,0.6111111111111112,18000.00
TELANG SQUASH,0.5714285714285715,0.5555555555555556,0.0,0.0,0.8333333333333334,0.0,non-kafein,0,0,1,0,0.2,1.0,0.6111111111111112,18000.00
CHOCOLATE,0.0,0.888888888888889,0.0,0.5,0.33333333333333315,0.0,non-kafein,0,1,0,0,0.8,0.0,0.6111111111111112,18000.00
CRUNCHY CREAMY,0.0,0.888888888888889,0.0,0.75,0.33333333333333315,0.0,non-kafein,0,1,0,0,0.8,0.0,0.7222222222222223,20000.00
VARIASI PINK,0.42857142857142855,0.5555555555555556,0.0,0.0,0.8333333333333334,0.0,non-kafein,0,1,0,0,0.5,1.0,1.0000000000000002,25000.00
TEH,0.14285714285714288,0.7777777777777778,0.3,0.5,0.5000000000000002,1.0,rendah,1,0,0,0,0.7,0.0,0.0,7000.00
TEH SEREH,0.0,0.6666666666666666,0.3,0.5,0.6666666666666669,1.0,rendah,1,0,0,0,0.5,0.0,0.16666666666666669,10000.00
TEH HIJAU,0.28571428571428575,0.6666666666666666,0.3,0.5,0.6666666666666669,1.0,rendah,1,0,0,0,0.5,0.0,0.27777777777777785,12000.00
TEH LEMON,1.0,0.4444444444444445,0.3,0.0,0.5000000000000002,1.0,rendah,1,0,0,0,0.2,0.0,0.4444444444444445,15000.00
TEH JAHE,0.0,0.4444444444444445,0.3,0.25,1.0,1.0,rendah,1,0,0,0,0.2,0.0,0.4444444444444445,15000.00
TEH JAHE SEREH,0.0,0.4444444444444445,0.3,0.0,1.0,1.0,rendah,1,0,0,0,0.2,0.0,0.6111111111111112,18000.00
TEH LECI,0.5714285714285715,0.5555555555555556,0.3,0.0,0.8333333333333334,1.0,rendah,1,0,0,0,0.5,0.0,0.6111111111111112,18000.00
TEH STRAWBERRY,0.42857142857142855,0.5555555555555556,0.3,0.0,0.8333333333333334,1.0,rendah,1,0,0,0,0.2,0.0,0.6111111111111112,18000.00
JAHE MERAH,0.0,0.4444444444444445,0.3,0.25,1.0,0.0,non-kafein,1,0,0,0,0.5,0.0,0.4444444444444445,15000.00
LEMON KISS,1.0,0.5555555555555556,0.0,0.0,0.5000000000000002,0.0,non-kafein,1,0,0,0,0.5,1.0,0.4444444444444445,15000.00
BANANA,0.0,1.0,0.0,0.25,0.16666666666666652,0.0,non-kafein,0,0,0,1,0.8,0.0,0.7222222222222223,20000.00
AVOCADO,0.0,0.888888888888889,0.0,0.75,0.33333333333333315,0.0,non-kafein,0,0,0,1,0.8,0.0,0.7222222222222223,20000.00
MANGO,0.28571428571428575,0.888888888888889,0.0,0.0,0.33333333333333315,0.0,non-kafein,0,0,0,1,0.8,0.0,0.7222222222222223,20000.00
STRAWBERRY,0.28571428571428575,0.7777777777777778,0.0,0.0,0.5000000000000002,0.0,non-kafein,0,0,0,1,0.8,0.0,0.7222222222222223,20000.00
